Date,Close,High,Low
2023-01-03,146.0,149.5,142.0
2023-01-04,146.0,148.0,142.0
2023-01-05,140.0,147.0,139.0
2023-01-06,139.0,142.0,137.5
2023-01-09,143.5,144.0,136.5
2023-01-10,141.0,145.5,140.5
2023-01-11,141.5,144.5,140.0
2023-01-12,147.0,147.0,141.0
2023-01-13,146.5,148.5,145.0
2023-01-16,144.0,148.5,143.0
2023-01-17,144.5,145.5,143.0
2023-01-30,148.5,150.0,144.0
2023-01-31,150.5,152.0,148.5
2023-02-01,153.5,159.0,151.5
2023-02-02,149.5,155.0,148.5
2023-02-03,147.5,151.0,147.0
2023-02-06,152.5,154.0,148.0
2023-02-07,155.0,155.0,152.0
2023-02-08,155.0,157.0,153.5
2023-02-09,154.5,158.0,154.0
2023-02-10,152.0,157.5,152.0
2023-02-13,153.0,156.5,152.0
2023-02-14,168.0,168.0,161.0
2023-02-15,158.5,171.0,157.5
2023-02-16,160.0,160.0,155.0
2023-02-17,162.5,163.0,157.5
2023-02-20,160.0,164.0,157.0
2023-02-21,156.5,159.5,152.5
2023-02-22,160.5,161.0,153.5
2023-02-23,162.0,165.0,159.0
2023-02-24,158.0,162.0,157.5
2023-03-01,161.5,161.5,155.5
2023-03-02,158.5,164.5,158.5
2023-03-03,157.5,162.0,157.5
2023-03-06,156.5,159.5,156.0
2023-03-07,156.5,160.0,155.5
2023-03-08,153.0,158.5,150.0
2023-03-09,151.5,154.5,149.5
2023-03-10,144.5,153.5,143.0
2023-03-13,146.5,146.5,140.0
2023-03-14,148.5,151.5,146.5
2023-03-15,148.0,152.0,147.5
2023-03-16,143.5,148.0,142.0
2023-03-17,146.5,148.5,143.5
2023-03-20,146.5,149.0,146.0
2023-03-21,146.0,150.0,146.0
2023-03-22,148.0,149.5,145.0
2023-03-23,149.0,149.5,147.0
2023-03-24,157.0,158.5,152.5
2023-03-27,141.5,147.5,141.5
2023-03-28,141.5,146.5,140.0
2023-03-29,146.0,146.0,135.5
2023-03-30,143.5,146.5,141.5
2023-03-31,145.0,145.0,140.5
2023-04-06,141.0,144.0,138.5
2023-04-07,138.5,142.5,138.5
2023-04-10,140.0,140.5,138.5
2023-04-11,140.5,144.0,140.0
2023-04-12,147.5,148.0,142.0
2023-04-13,146.5,149.0,145.5
2023-04-14,148.5,151.5,147.0
2023-04-17,151.0,152.5,150.0
2023-04-18,155.5,158.0,152.0
2023-04-19,162.5,169.5,157.5
2023-04-20,159.5,166.0,155.5
2023-04-21,152.0,159.5,152.0
2023-04-24,154.5,160.0,151.0
2023-04-25,150.5,158.5,149.0
2023-04-26,150.0,153.0,148.5
2023-04-27,150.0,151.5,147.0
2023-04-28,155.5,156.0,151.5
2023-05-02,155.0,158.0,154.0
2023-05-03,156.0,158.0,154.0
2023-05-04,158.0,159.0,155.0
2023-05-05,158.5,161.0,156.5
2023-05-08,154.5,161.0,154.0
2023-05-09,152.5,157.0,152.5
2023-05-10,151.5,157.0,151.0
2023-05-11,158.0,161.0,154.0
2023-05-12,163.5,163.5,157.0
2023-05-15,156.5,163.5,156.0
2023-05-16,159.5,161.0,157.0
2023-05-17,163.5,163.5,160.0
2023-05-18,162.0,163.5,157.0
2023-05-19,163.5,166.5,160.5
2023-05-22,161.5,165.0,161.5
2023-05-23,162.5,164.5,159.5
2023-05-24,164.0,165.0,161.5
2023-05-25,160.5,163.5,158.5
2023-05-26,154.0,161.5,154.0
2023-05-29,152.5,156.5,152.0
2023-05-30,147.5,153.5,147.0
2023-05-31,149.0,149.0,145.5
2023-06-01,148.5,152.5,147.5
2023-06-02,150.5,151.0,147.5
2023-06-05,150.5,152.5,149.5
2023-06-06,151.5,153.0,150.5
2023-06-07,154.5,155.5,151.5
2023-06-08,156.0,158.0,154.0
2023-06-09,162.0,162.5,157.0
2023-06-12,152.0,162.5,152.0
2023-06-13,152.0,155.0,152.0
2023-06-14,151.5,154.0,151.0
2023-06-15,154.0,154.0,150.0
2023-06-16,150.0,154.0,150.0
2023-06-19,151.0,152.5,150.0
2023-06-20,152.0,154.0,151.0
2023-06-21,147.5,153.0,147.5
2023-06-26,143.5,147.5,142.5
2023-06-27,145.0,145.5,141.0
2023-06-28,143.5,147.0,143.5
2023-06-29,143.5,145.0,142.0
2023-06-30,143.5,143.5,141.5
2023-07-03,140.0,143.5,140.0
2023-07-04,138.5,140.0,137.0
2023-07-05,140.0,143.0,138.5
2023-07-06,137.5,141.5,137.5
2023-07-07,137.5,138.0,134.0
2023-07-10,136.5,139.0,136.5
2023-07-11,133.0,138.0,132.0
2023-07-12,127.5,132.5,126.5
2023-07-13,130.0,131.0,128.0
2023-07-14,128.5,132.0,128.5
2023-07-17,127.0,129.0,124.0
2023-07-18,124.5,129.5,123.5
2023-07-19,123.5,126.0,123.5
2023-07-20,124.5,126.5,123.5
2023-07-21,124.0,126.5,123.5
2023-07-24,121.0,124.0,120.5
2023-07-25,121.5,122.0,119.5
2023-07-26,121.5,123.5,120.5
2023-07-27,123.5,126.0,122.5
2023-07-28,121.0,124.0,121.0
2023-07-31,123.5,124.5,121.5
2023-08-01,121.5,124.0,121.0
2023-08-02,120.0,123.0,119.0
2023-08-04,121.5,122.0,119.5
2023-08-07,119.0,121.0,117.0
2023-08-08,117.5,119.0,117.0
2023-08-09,118.5,119.0,117.0
2023-08-10,116.5,118.5,115.5
2023-08-11,118.5,119.0,116.0
2023-08-14,112.0,117.5,111.5
2023-08-15,113.0,114.5,110.5
2023-08-16,111.5,112.5,109.5
2023-08-17,111.0,113.5,110.0
2023-08-18,111.0,112.5,110.5
2023-08-21,108.0,111.5,107.5
2023-08-22,107.5,109.5,106.0
2023-08-23,108.0,109.5,107.5
2023-08-24,106.5,108.0,105.5
2023-08-25,117.0,117.0,109.5
2023-08-28,111.5,124.5,107.0
2023-08-29,112.5,113.5,110.0
2023-08-30,114.0,114.5,112.0
2023-08-31,113.0,114.0,112.0
2023-09-01,114.5,115.5,113.5
2023-09-04,114.5,118.0,114.5
2023-09-05,112.5,114.5,112.5
2023-09-06,112.5,114.0,112.5
2023-09-07,112.5,112.5,111.0
2023-09-08,113.5,114.0,112.0
2023-09-11,110.0,113.5,110.0
2023-09-12,111.5,112.5,110.5
2023-09-13,112.0,114.0,111.5
2023-09-14,112.0,113.5,112.0
2023-09-15,110.5,113.0,110.5
2023-09-18,113.5,115.5,110.5
2023-09-19,111.5,114.5,111.5
2023-09-20,112.0,114.0,111.5
2023-09-21,108.5,112.0,108.5
2023-09-22,108.5,110.0,107.5
2023-09-25,109.0,111.0,108.5
2023-09-26,106.0,110.0,106.0
2023-09-27,105.5,107.0,104.5
2023-09-28,105.5,108.0,105.5
2023-10-02,108.5,109.0,106.0
2023-10-03,106.5,109.0,106.5
2023-10-04,104.5,107.0,104.0
2023-10-05,105.0,106.5,104.5
2023-10-06,104.0,106.5,104.0
2023-10-11,102.5,105.0,102.0
2023-10-12,103.5,104.0,102.0
2023-10-13,102.0,104.0,102.0
2023-10-16,101.5,103.0,101.0
2023-10-17,100.0,102.0,100.0
2023-10-18,100.0,100.5,99.2
2023-10-19,99.7,101.0,99.0
2023-10-20,98.9,100.0,98.1
2023-10-23,99.0,100.5,98.6
2023-10-24,97.3,100.0,97.2
2023-10-25,98.0,98.9,97.7
2023-10-26,95.4,97.5,95.4
2023-10-27,98.3,99.4,96.0
2023-10-30,96.8,99.5,96.6
2023-10-31,97.2,99.6,97.1
2023-11-01,99.8,101.0,97.6
2023-11-02,101.0,102.0,99.3
2023-11-03,101.0,103.5,100.5
2023-11-06,102.5,103.5,101.5
2023-11-07,102.0,103.5,101.5
2023-11-08,100.5,102.5,100.5
2023-11-09,101.5,102.0,100.0
2023-11-10,101.0,106.0,100.0
2023-11-13,99.5,102.5,99.3
2023-11-14,98.3,100.0,97.8
2023-11-15,103.5,104.5,98.9
