Date,Close,High,Low
2023-01-03,18.9,19.7,18.9
2023-01-04,18.9,18.9,18.9
2023-01-05,19.1,19.1,18.9
2023-01-06,20.3,21.0,19.5
2023-01-09,19.6,20.25,19.15
2023-01-10,19.1,19.4,19.1
2023-01-11,19.2,19.85,18.85
2023-01-12,19.05,19.2,19.05
2023-01-13,19.0,19.3,19.0
2023-01-16,19.0,19.05,18.9
2023-01-17,19.2,19.35,18.85
2023-01-30,19.35,19.4,19.35
2023-01-31,19.0,19.15,19.0
2023-02-01,19.15,20.0,19.05
2023-02-02,19.0,19.15,19.0
2023-02-03,19.0,19.2,19.0
2023-02-06,19.05,19.05,18.95
2023-02-07,19.0,19.05,19.0
2023-02-08,18.95,19.2,18.95
2023-02-09,18.9,18.95,18.75
2023-02-10,18.9,18.9,18.8
2023-02-13,18.8,18.8,18.8
2023-02-14,18.85,18.85,18.7
2023-02-15,18.75,18.8,18.7
2023-02-16,18.8,19.1,18.7
2023-02-17,18.7,18.7,18.6
2023-02-20,19.05,19.05,19.05
2023-02-21,18.9,19.0,18.7
2023-02-22,18.75,19.0,18.5
2023-02-23,18.8,18.85,18.7
2023-02-24,18.75,18.75,18.5
2023-03-01,18.7,18.75,18.6
2023-03-02,18.6,18.65,18.6
2023-03-03,18.6,18.6,18.45
2023-03-06,18.55,18.65,18.5
2023-03-07,18.5,18.7,18.35
2023-03-08,18.45,18.45,18.45
2023-03-09,18.3,18.45,18.0
2023-03-10,18.2,18.25,18.1
2023-03-13,18.35,18.35,18.1
2023-03-14,18.25,18.25,18.25
2023-03-15,18.1,18.1,18.0
2023-03-16,18.1,18.1,18.1
2023-03-17,18.0,18.0,18.0
2023-03-20,18.0,18.0,18.0
2023-03-21,18.0,18.3,18.0
2023-03-22,17.8,17.9,17.8
2023-03-23,18.0,18.05,17.8
2023-03-24,18.15,18.8,18.0
2023-03-27,18.3,18.4,18.3
2023-03-28,18.2,18.2,17.9
2023-03-29,18.0,18.0,18.0
2023-03-30,18.45,18.45,18.45
2023-03-31,18.2,18.2,18.0
2023-04-06,17.9,17.9,17.9
2023-04-07,17.95,18.3,17.7
2023-04-10,18.1,18.1,18.1
2023-04-11,17.85,17.95,17.6
2023-04-12,17.85,17.85,17.85
2023-04-13,17.9,18.4,17.9
2023-04-14,17.8,18.1,17.65
2023-04-17,17.75,17.95,17.75
2023-04-18,17.9,18.25,17.9
2023-04-19,17.7,18.2,17.7
2023-04-20,17.7,18.15,17.7
2023-04-21,17.8,18.15,17.8
2023-04-24,17.95,17.95,17.7
2023-04-25,18.2,19.3,18.2
2023-04-26,18.2,18.85,18.2
2023-04-27,18.35,18.5,18.05
2023-04-28,18.35,18.85,18.3
2023-05-02,18.1,18.3,18.1
2023-05-03,18.0,18.1,17.9
2023-05-04,17.9,17.95,17.9
2023-05-05,17.8,17.9,17.8
2023-05-08,17.7,17.8,17.7
2023-05-09,17.7,17.7,17.4
2023-05-10,17.55,18.4,17.55
2023-05-11,17.4,17.55,17.4
2023-05-12,17.4,17.4,17.4
2023-05-15,17.1,17.3,17.0
2023-05-16,16.75,17.1,16.7
2023-05-17,17.0,17.0,16.75
2023-05-18,17.15,17.15,17.0
2023-05-19,16.85,17.15,16.8
2023-05-22,17.05,17.05,16.9
2023-05-23,17.05,17.05,17.05
2023-05-24,16.9,17.0,16.9
2023-05-25,16.9,16.9,16.85
2023-05-26,16.9,16.9,16.75
2023-05-29,16.9,16.9,16.9
2023-05-30,17.15,17.5,16.9
2023-05-31,17.15,17.15,17.15
2023-06-01,16.8,17.0,16.45
2023-06-02,17.05,17.3,16.8
2023-06-05,17.15,17.15,17.05
2023-06-06,17.15,17.25,17.15
2023-06-07,17.05,17.15,17.0
2023-06-08,16.65,16.65,16.65
2023-06-09,16.8,16.9,16.8
2023-06-12,16.85,16.9,16.8
2023-06-13,16.4,16.6,16.25
2023-06-14,16.6,16.55,16.5
2023-06-15,16.5,16.55,16.5
2023-06-16,16.75,16.8,16.5
2023-06-19,16.7,16.75,16.7
2023-06-20,16.6,16.7,16.6
2023-06-21,17.55,17.55,16.55
2023-06-26,17.35,17.65,17.05
2023-06-27,17.05,17.35,17.0
2023-06-28,16.85,16.9,16.8
2023-06-29,16.75,16.85,16.7
2023-06-30,16.7,16.7,16.65
2023-07-03,16.5,16.8,16.2
2023-07-04,16.45,16.5,16.4
2023-07-05,15.9,16.45,15.55
2023-07-06,16.1,16.1,15.95
2023-07-07,16.3,16.3,16.1
2023-07-10,15.9,16.3,15.85
2023-07-11,16.1,16.1,15.7
2023-07-12,15.5,16.1,15.5
2023-07-13,15.5,16.0,15.5
2023-07-14,15.5,15.95,15.05
2023-07-17,15.9,15.9,15.05
2023-07-18,15.5,15.7,15.5
2023-07-19,15.6,15.6,15.5
2023-07-20,15.5,15.7,15.5
2023-07-21,15.4,15.6,15.4
2023-07-24,15.4,15.4,15.4
2023-07-25,16.0,16.0,15.4
2023-07-26,16.0,16.0,16.0
2023-07-27,15.5,15.5,15.45
2023-07-28,15.7,16.0,15.5
2023-07-31,15.5,15.65,15.3
2023-08-01,15.7,15.7,15.5
2023-08-02,15.85,16.0,15.7
2023-08-04,16.0,16.5,15.3
2023-08-07,16.7,16.7,16.1
2023-08-08,16.5,16.7,16.5
2023-08-09,16.5,16.6,16.5
2023-08-10,16.5,17.4,16.5
2023-08-11,16.6,16.6,16.5
2023-08-14,16.6,16.6,16.6
2023-08-15,16.65,17.0,16.45
2023-08-16,16.6,16.6,16.5
2023-08-17,16.3,16.5,16.3
2023-08-18,16.1,16.3,16.1
2023-08-21,17.0,17.0,16.0
2023-08-22,17.0,17.0,17.0
2023-08-23,16.3,16.8,16.3
2023-08-24,16.8,16.85,16.8
2023-08-25,16.8,16.8,16.8
2023-08-28,16.7,16.8,16.35
2023-08-29,16.95,16.95,16.2
2023-08-30,17.2,17.2,17.2
2023-08-31,17.2,17.2,17.2
2023-09-01,16.95,17.0,16.6
2023-09-04,16.6,16.75,16.6
2023-09-05,16.85,16.85,16.55
2023-09-06,16.8,16.85,16.7
2023-09-07,17.05,17.05,16.8
2023-09-08,17.1,17.1,17.0
2023-09-11,17.15,17.45,17.0
2023-09-12,17.35,17.35,17.0
2023-09-13,17.05,17.1,17.0
2023-09-14,17.0,17.1,16.95
2023-09-15,17.0,17.0,17.0
2023-09-18,17.05,17.05,17.0
2023-09-19,17.05,17.05,17.05
2023-09-20,17.0,17.05,16.85
2023-09-21,17.0,17.05,16.95
2023-09-22,17.1,17.1,17.0
2023-09-25,17.5,17.5,17.1
2023-09-26,17.3,17.3,17.2
2023-09-27,17.15,17.3,17.05
2023-09-28,17.5,17.5,17.15
2023-10-02,17.3,17.3,17.2
2023-10-03,17.2,17.3,17.05
2023-10-04,17.05,17.2,17.05
2023-10-05,17.1,17.1,17.1
2023-10-06,17.15,17.15,17.15
2023-10-11,16.4,16.59,16.35
2023-10-12,16.4,16.44,16.4
2023-10-13,16.92,17.06,16.35
2023-10-16,18.34,18.58,16.77
2023-10-17,18.45,19.15,18.0
2023-10-18,18.0,18.45,18.0
2023-10-19,17.9,18.1,17.9
2023-10-20,17.85,18.3,17.85
2023-10-23,17.75,17.85,17.65
2023-10-24,17.75,18.2,17.65
2023-10-25,17.75,18.5,17.65
2023-10-26,17.6,18.15,17.55
2023-10-27,17.3,17.6,16.85
2023-10-30,16.65,17.45,16.6
2023-10-31,16.6,16.95,16.55
2023-11-01,16.5,16.9,16.4
2023-11-02,16.65,16.95,16.5
2023-11-03,16.45,16.65,16.3
2023-11-06,16.65,16.8,16.6
2023-11-07,16.45,17.15,16.45
2023-11-08,16.5,16.8,16.4
2023-11-09,16.1,16.75,16.1
2023-11-10,15.45,16.15,15.35
2023-11-13,15.3,15.45,15.1
2023-11-14,15.7,16.05,15.2
2023-11-15,16.1,16.25,15.7
2023-11-16,16.55,16.6,16.2
2023-11-17,16.15,16.55,16.1
2023-11-20,16.2,16.45,15.7
2023-11-21,16.25,16.4,16.25
2023-11-22,16.6,16.75,16.1
2023-11-23,16.6,16.75,16.35
2023-11-24,17.0,17.35,16.6
2023-11-27,16.85,17.5,16.8
2023-11-28,16.65,16.8,16.65
2023-11-29,16.7,16.9,16.65
2023-11-30,16.6,16.75,16.5
2023-12-01,17.0,17.45,16.8
2023-12-04,17.0,17.25,16.95
2023-12-05,16.95,16.95,16.6
2023-12-06,16.8,16.95,16.75
2023-12-07,16.35,16.8,16.35
2023-12-08,16.55,17.35,16.5
2023-12-11,16.6,16.7,16.45
2023-12-12,16.35,16.6,16.35
